ID,title,coords,IDImagenVitrina
20000004,5060,"576, 1075, 50",6007002
10506400,5064,"680, 350, 50- 752, 350, 50",6006003
15064100,5064,"188, 352, 50- 261, 352, 50",6006004
10511600,5116,"708, 1109, 50",6008002
10511700,5117,"116, 993, 50",6008001
10512100,5121,"533, 993, 40",6008004
10528100,5281,"715, 461, 30",6009001
15281100,5281,"319, 459, 30",6009002
10528200,5282,,
10534300,5343,"440, 372, 10- 460, 372, 10- 476, 372, 10",6007002
10534400,5344,"512, 384, 20- 512, 404, 20- 512, 425, 20",6007002
10539300,5393,"185, 730, 10- 215, 730, 210- 251, 730, 20- 283, 730, 20- 309, 730, 10",6007003
10539400,5394,"60, 1028, 10- 80, 1028, 10- 106, 1018, 20- 132, 1028, 10- 151, 1028, 10",6007003
10539500,5395,"240, 605, 10- 270, 605, 20- 298, 605, 10",6007003
10539600,5396,"510, 966, 20",6009003
10540700,5407,"233, 451, 40- 233, 507, 40- 233, 545, 40",6009003
10540800,5408,"438, 968, 40- 438, 1026, 40- 438, 1079, 30",6009002
10541300,5413,"599, 975, 10- 619, 975, 10- 638, 975, 10- 658, 975, 10- 678, 975, 10- 697, 975, 10- 716, 975, 10- 735, 975, 10",6007002
10541600,5416,"418, 456, 20",6007002
10541900,5419,"307, 757, 20",6007001
10565800,5658,"504, 754, 40",6011002
10567500,5675,"467, 137, 60",6006004
10567600,5676,"674, 268, 40- 674, 333, 50",6006004
10574300,5743,"672, 1023, 40- 672, 1083, 40",6009002
10574400,5744,"720, 111, 40- 720, 179, 30",6006003
15744100,5744,"234, 108, 40- 234, 176, 30",6006004
10598700,5987,"787, 1003, 20",6009001
15987100,5987,"386, 1002, 20",6009002
10602600,6026,"490, 342, 20",6009003
10647100,6471,"645, 937, 50",6010004
10654000,6540,"596, 391, 30",6009003
10676900,6769,"471, 542, 40",6006004
10683900,6839,,
10685000,6850,"640, 1005, 40",6006001
16850100,6850,"144, 1004, 40",6006002
20000006,6910,"186, 1113, 30",6009003
20000006,6912,"186, 1113, 30",6009003
10725800,7258,"627, 227, 20",6009003
10741300,7413,"105, 999, 40",6006003
10741500,7415,"142, 751, 20",6007001
20000009,7417,"696, 1112, 40",6009003
10741800,7418,"694, 524, 20",6009003
10741900,7419,"571, 932, 10- 590, 932, 10- 610, 932, 10- 631, 932, 10- 652, 932, 10- 671, 932, 10",6007002
20000005,7483,"259, 1114, 40",6009003
10791600,7916,"685, 939, 50- 685, 978, 50",6008002
10791800,7918,"570, 341, 30",6006004
10791900,7919,"548, 981, 40",6006004
10792400,7924,"447, 920, 30",6010004
10801000,8010,,
10808500,8085,"473, 829, 20",6010002
10808600,8086,"505, 757, 15",6010002
10808700,8087,"503, 789, 15",6010002
10808800,8088,"463, 758, 20",6010002
10809100,8091,"482, 1051, 25",6010002
10809200,8092,"89, 949, 15",6010003
10809400,8094,"720, 977, 20",6009001
18094100,8094,"326, 980, 20",6009002
10809800,8098,"577, 837, 15",6010002
10809900,8099,"540, 815, 15",6010002
10810000,8100,"594, 744, 10- 594, 764, 10",6010002
10810100,8101,"575, 722, 15",6010002
10813200,8132,,6010002
20000008,8136,"603, 1114, 40",6009003
10820700,8207,"520, 391, 20",6009003
10820800,8208,"778, 1011, 30- 778, 1068, 30",6007001
18208100,8208,"244, 1087, 30- 317, 1081, 30",6007002
10820900,8209,"586, 1018, 30- 586, 1080, 30",6007001
18209100,8209,"111, 1024, 30- 111, 1087, 30",6007002
10821200,8212,"569, 697, 30- 613, 697, 30",6011002
10872900,8729,"456, 1106, 30",6010002
10873000,8730,"698, 1119, 30",6010002
10873100,8731,"692, 1060, 25",6010002
10873300,8733,"525, 1087, 25",6010002
10874500,8745,"228, 1114, 20",6009001
10877500,8775,"233, 1032, 20",6007003
10893400,8934,"638, 1089, 25",6010002
10894000,8940,"332, 158, 50",6006004
10894100,8941,"674, 958, 50- 633, 954, 40",6006004
10894400,8944,"449, 929, 40- 480, 976, 50",6008002
20000004,9068,"576, 1075, 50",6007002
10916600,9166,"713, 744, 50",6011002
10917700,9177,"617, 547, 110",6011002
10922200,9222,"674, 1088, 65",6010004
