ID,IDGroup,title,masInfo,codigo,material,sitio,comuna,provincia,imagenes,video,video3d
4174,417400,Jarro,,4174,Arcilla,La Turquía C,"Río Hurtado, Provincia de Limarí",,"IMG_5821.JPG, IMG_5822.JPG, IMG_5823.JPG, IMG_5824.JPG",,
4175,417500,Vaso,,4175,Arcilla,La Turquía C,"Río Hurtado, Provincia de Limarí",,"IMG_5831.JPG, IMG_5832.JPG, IMG_5833.JPG, IMG_5834.JPG",,
4176,417600,Vaso,,4176,Arcilla ,La Turquía C,"Río Hurtado, Provincia de Limarí",,"IMG_5837.JPG, IMG_5838.JPG, IMG_5839.JPG, IMG_5841.JPG",,
4240,424000,Adorno,,4240,Oro,La Turquía,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,102_L_MK1.mp4
4241,424100,Adorno,,4241,Oro,La Turquía B,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,
4242,424200,Disco,,4242,Plata,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6631.JPG, IMG_6632.JPG",,044_L_MK1.mp4
4243,424300,Tembetá,,4243,Combarbalita,La Turquía-B,"Río Hurtado, Provincia de Limarí",,"IMG_6961.JPG, IMG_6962.JPG, IMG_6963.JPG, IMG_6964.JPG",,
4244,424400,Tembetá,,4244,Combarbalita,La Turquía-B,"Río Hurtado, Provincia de Limarí",,"IMG_6142.JPG, IMG_6143.JPG, IMG_6144.JPG, IMG_6145.JPG",,
4248,424800,Tembetá,,4248,Combarbalita,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6416.JPG, IMG_6417.JPG, IMG_6418.JPG",,
4251,425100,Tembetá,,4251,Combarbalita,La Turquía-B,"Río Hurtado, Provincia de Limarí",,"IMG_6905.JPG, IMG_6906.JPG, IMG_6907.JPG",,
4252,425200,Tembetá,,4252,Combarbalita,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6097.JPG, IMG_6098.JPG, IMG_6099.JPG",,
4253,425300,Pulsera,,4253,Cobre,Sitio desconocido,Desconocida,,COMODIN.jpg,,
4254,425400,Disco,,4254,Cobre,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6663.JPG, IMG_6664.JPG",,
4255,425500,Pinza,,4255,Cobre,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6644.JPG, IMG_6645.JPG, IMG_6646.JPG, IMG_6649.JPG",,
4256,425600,Vasija,,4256,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6205.JPG, IMG_6207.JPG, IMG_6208.JPG, IMG_6209.JPG",,
4260,426000,Vaso,,4260,Arcilla ,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5618.JPG, IMG_5619.JPG, IMG_5620.JPG, IMG_5621.JPG",,
4261,426100,Vaso,,4261,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5627.JPG, IMG_5628.JPG, IMG_5629.JPG, IMG_5630.JPG",,
4266,426600,Ceramio ,,4266,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5933.JPG, IMG_5934.JPG, IMG_5935.JPG, IMG_5936.JPG",,
4267,426700,Vasija,,4267,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6061.JPG, IMG_6062.JPG, IMG_6063.JPG, IMG_6064.JPG",,
4269,426900,Vasija,,4269,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6345.JPG, IMG_6346.JPG, IMG_6347.JPG, IMG_6348.JPG",,
4270,427000,Jarro,,4270,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6332.JPG, IMG_6333.JPG, IMG_6334.JPG, IMG_6336.JPG",,042_L_MK1.mp4
4271,427100,Ceramio,,4271,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6197.JPG, IMG_6199.JPG, IMG_6200.JPG, IMG_6201.JPG",,
4273,427300,Vasija,,4273,Arcilla,La Turquìa D,"Río Hurtado, Provincia de Limarí",,"IMG_5768.JPG, IMG_5769.JPG, IMG_5770.JPG, IMG_5771.JPG",,
4274,427400,Vasija,,4274,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5612.JPG, IMG_5613.JPG, IMG_5614.JPG, IMG_5615.JPG",,
4275,427500,Jarro,,4275,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6359.JPG, IMG_6360.JPG, IMG_6361.JPG, IMG_6364.JPG",,
4276,427600,Vasija,,4276,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5590.JPG, IMG_5591.JPG, IMG_5592.JPG, IMG_5594.JPG",,
4277,427700,Vaso,,4277,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5596.JPG, IMG_5597.JPG, IMG_5598.JPG, IMG_5599.JPG",,040_L_MK1.mp4
4278,427800,Vaso,,4278,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5826.JPG, IMG_5827.JPG, IMG_5828.JPG, IMG_5829.JPG",,
4279,427900,Vasija,,4279,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6055.JPG, IMG_6056.JPG, IMG_6057.JPG, IMG_6059.JPG",,
4280,428000,Vaso,,4280,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_6024.JPG, IMG_6025.JPG, IMG_6026.JPG, IMG_6027.JPG",,
4281,428100,Jarro,,4281,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5844.JPG, IMG_5845.JPG, IMG_5846.JPG, IMG_5847.JPG",,
4282,428200,Vaso,,4282,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5581.JPG, IMG_5582.JPG, IMG_5583.JPG",,
4283,428300,Jarro,,4283,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5623.JPG, IMG_5624.JPG, IMG_5625.JPG",,041_L_MK1.mp4
4284,428400,Jarro,,4284,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5798.JPG, IMG_5799.JPG, IMG_5800.JPG, IMG_5802.JPG",,
4285,428500,Vaso,,4285,Arcilla,La Turquía B,"Río Hurtado, Provincia de Limarí",,"IMG_5953.JPG, IMG_5954.JPG, IMG_5955.JPG, IMG_5957.JPG",,
4286,428600,Cántaro,,4286,Arcilla,La Turquía,"Río Hurtado, Provincia de Limarí",,"IMG_6072.JPG, IMG_6074.JPG, IMG_6075.JPG, IMG_6076.JPG",,
